"ISO3","word","n","total","tf","idf","tf_idf","ISO2","Country"
"BRA","times",2,1130,0.00176991150442478,1.04835045388722,0.00185548752900393,"BR","Brazil"
"BRA","tomorrow",2,1130,0.00176991150442478,1.8021222562636,0.00318959691374089,"BR","Brazil"
"BRA","trade",2,1130,0.00176991150442478,1.03375165446607,0.00182964894595764,"BR","Brazil"
"BRA","urgent",2,1130,0.00176991150442478,0.84901755126673,0.00150268593144554,"BR","Brazil"
"BRA","wars",2,1130,0.00176991150442478,1.29756624551121,0.00229657742568355,"BR","Brazil"
"BRA","wealth",2,1130,0.00176991150442478,1.68433922060722,0.00298113136390658,"BR","Brazil"
"BRA","weapons",2,1130,0.00176991150442478,1.15698429489002,0.00204775981396463,"BR","Brazil"
"BRA","wind",2,1130,0.00176991150442478,2.78295150927533,0.0049255778925227,"BR","Brazil"
"BRA","women",2,1130,0.00176991150442478,0.595029324601422,0.00105314924708216,"BR","Brazil"
"BRA","won",2,1130,0.00176991150442478,3.18841661738349,0.00564321525200618,"BR","Brazil"
"IND","ability",2,814,0.00245700245700246,1.43921676257423,0.00353615912180401,"IN","India"
"IND","achievements",2,814,0.00245700245700246,2.04898233419513,0.00503435462947206,"IN","India"
"IND","address",2,814,0.00245700245700246,0.114566564565549,0.000281490330627885,"IN","India"
"IND","ahead",2,814,0.00245700245700246,1.93565364888812,0.00475590577122389,"IN","India"
"IND","alliance",2,814,0.00245700245700246,2.17681570570501,0.00534844153735875,"IN","India"
"IND","assembly",2,814,0.00245700245700246,0.0638514719865328,0.000156883223554135,"IN","India"
"IND","based",2,814,0.00245700245700246,0.472067613466587,0.00115987128615869,"IN","India"
"IND","broad",2,814,0.00245700245700246,2.49526943682355,0.00613088313715859,"IN","India"
"IND","building",2,814,0.00245700245700246,0.623467259921956,0.00153186058948883,"IN","India"
"IND","confidence",2,814,0.00245700245700246,1.57897870494939,0.00387955455761521,"IN","India"
"IND","contributions",2,814,0.00245700245700246,1.90056232907685,0.00466968631222814,"IN","India"
"IND","cooperation",2,814,0.00245700245700246,0.312031101462067,0.000766661182953482,"IN","India"
"IND","corruption",2,814,0.00245700245700246,2.37748640116716,0.00584148992915765,"IN","India"
"IND","council",2,814,0.00245700245700246,0.250578322248404,0.000615671553435881,"IN","India"
"IND","covid",2,814,0.00245700245700246,0.991192040047273,0.00243536127775743,"IN","India"
"IND","culture",2,814,0.00245700245700246,1.60429651293368,0.00394176047403853,"IN","India"
"IND","deep",2,814,0.00245700245700246,1.35583515363518,0.00333129030377195,"IN","India"
"IND","deliberations",2,814,0.00245700245700246,2.86996288626496,0.00705150586305886,"IN","India"
"IND","delivery",2,814,0.00245700245700246,2.27212588550934,0.00558261888331532,"IN","India"
"IND","digital",2,814,0.00245700245700246,1.41771055735327,0.00348331832273531,"IN","India"
"IND","disaster",2,814,0.00245700245700246,1.55428609235902,0.00381888474781086,"IN","India"
"IND","diverse",2,814,0.00245700245700246,2.27212588550934,0.00558261888331532,"IN","India"
"IND","divide",2,814,0.00245700245700246,2.13236394313418,0.00523922344750412,"IN","India"
"IND","due",2,814,0.00245700245700246,1.10897507570366,0.00272475448575837,"IN","India"
"IND","earth",2,814,0.00245700245700246,1.972021293059,0.00484526116230712,"IN","India"
"IND","east",2,814,0.00245700245700246,1.09347088916769,0.00268666066134568,"IN","India"
"IND","economy",2,814,0.00245700245700246,0.682890680392756,0.00167786407958908,"IN","India"
